kind,role,position,key,signal_name,safe_name
position_quality,core,AM,,Shot Share,Shot_Share
position_quality,core,AM,,Big Chances Created per90,Big_Chances_Created_per90
position_quality,core,AM,,Key Passes per90,Key_Passes_per90
position_quality,core,AM,,Key Pass Share,Key_Pass_Share
style,core,AM,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,AM,Control,Backward Pass Share,Backward_Pass_Share
style,core,AM,Control,Pass Share,Pass_Share
style,supporting,AM,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,AM,Control,Passes per90,Passes_per90
style,supporting,AM,Control,Backward Passes per90,Backward_Passes_per90
style,core,AM,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,AM,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,AM,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,AM,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,AM,Direct,Long Ball Rate,Long_Ball_Rate
style,core,AM,Direct,Long Ball Share,Long_Ball_Share
style,core,AM,Direct,Directness Proxy,Directness_Proxy
style,supporting,AM,Direct,Long Balls per90,Long_Balls_per90
style,supporting,AM,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,CF,,Key Pass Share Relative to Pass Share,Key_Pass_Share_Relative_to_Pass_Share
position_quality,core,CF,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,CF,,Dribble Rate,Dribble_Rate
position_quality,core,CF,,Dribble Success %,Dribble_Success_pct
position_quality,core,CF,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,CF,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,CF,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,CF,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,CF,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,CF,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,CF,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
position_quality,core,CF,,Shots Total per90,Shots_Total_per90
position_quality,core,CF,,Shot Rate,Shot_Rate
position_quality,core,CF,,Shot Accuracy %,Shot_Accuracy_pct
position_quality,core,CF,,Goal Conversion %,Goal_Conversion_pct
position_quality,core,CF,,xG per Shot,xG_per_Shot
position_quality,core,CF,,xGOT per Shot on Target,xGOT_per_Shot_on_Target
position_quality,core,CF,,Big Chances Created per90,Big_Chances_Created_per90
position_quality,core,CF,,Key Passes per90,Key_Passes_per90
position_quality,core,CF,,Big Chance Creation Conversion %,Big_Chance_Creation_Conversion_pct
position_quality,core,CF,,Key Pass Conversion %,Key_Pass_Conversion_pct
position_quality,core,CF,,Big Chance Created Share,Big_Chance_Created_Share
position_quality,core,CF,,Key Pass Share,Key_Pass_Share
style,core,CF,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,CF,Control,Backward Pass Share,Backward_Pass_Share
style,core,CF,Control,Pass Share,Pass_Share
style,supporting,CF,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,CF,Control,Passes per90,Passes_per90
style,supporting,CF,Control,Backward Passes per90,Backward_Passes_per90
style,core,CF,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,CF,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,CF,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,CF,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,CF,Direct,Long Ball Rate,Long_Ball_Rate
style,core,CF,Direct,Long Ball Share,Long_Ball_Share
style,core,CF,Direct,Directness Proxy,Directness_Proxy
style,supporting,CF,Direct,Long Balls per90,Long_Balls_per90
style,supporting,CF,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
style_receiving,core,CF,Direct,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
style_receiving,core,CF,Direct,Aerial Duel Share,Aerial_Duel_Share
emphasis,core,CB,Aerial,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
emphasis,core,CB,Aerial,Aerial Duel Share,Aerial_Duel_Share
emphasis,supporting,CB,Aerial,Aerial Duel Success %,Aerial_Duel_Success_pct
emphasis,core,CB,Ground-Defensive,Tackles per90,Tackles_per90
emphasis,core,CB,Ground-Defensive,Interceptions per90,Interceptions_per90
emphasis,core,CB,Ground-Defensive,Ball Recoveries per90,Ball_Recoveries_per90
emphasis,supporting,CB,Ground-Defensive,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
emphasis,core,CB,Ball-Playing,Passes per90,Passes_per90
emphasis,core,CB,Ball-Playing,Pass Share,Pass_Share
emphasis,supporting,CB,Ball-Playing,Long Balls Won %,Long_Balls_Won_pct
emphasis,supporting,CB,Ball-Playing,Final Third Pass Rate,Final_Third_Pass_Rate
emphasis,core,FB,Attacking,Total Crosses per90,Total_Crosses_per90
emphasis,core,FB,Attacking,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,core,FB,Attacking,Final Third Pass Rate,Final_Third_Pass_Rate
emphasis,supporting,FB,Attacking,Key Passes per90,Key_Passes_per90
emphasis,core,FB,Defensive,Tackles per90,Tackles_per90
emphasis,core,FB,Defensive,Interceptions per90,Interceptions_per90
emphasis,core,FB,Defensive,Ball Recoveries per90,Ball_Recoveries_per90
emphasis,supporting,FB,Defensive,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
emphasis,core,WM,Creator,Key Passes per90,Key_Passes_per90
emphasis,core,WM,Creator,Total Crosses per90,Total_Crosses_per90
emphasis,supporting,WM,Creator,Key Pass Share,Key_Pass_Share
emphasis,supporting,WM,Creator,Cross Share,Cross_Share
emphasis,core,WM,Ball Carrier,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,core,WM,Ball Carrier,Dribble Rate,Dribble_Rate
emphasis,core,WM,Ball Carrier,Dribble Attempt Share,Dribble_Attempt_Share
emphasis,core,WM,Defensive,Tackles per90,Tackles_per90
emphasis,core,WM,Defensive,Interceptions per90,Interceptions_per90
emphasis,core,WM,Defensive,Ball Recoveries per90,Ball_Recoveries_per90
emphasis,core,Winger,Creator/Provider,Key Passes per90,Key_Passes_per90
emphasis,core,Winger,Creator/Provider,Total Crosses per90,Total_Crosses_per90
emphasis,supporting,Winger,Creator/Provider,Big Chances Created per90,Big_Chances_Created_per90
emphasis,supporting,Winger,Creator/Provider,Cross Accuracy %,Cross_Accuracy_pct
emphasis,core,Winger,Goal Threat,Shots Total per90,Shots_Total_per90
emphasis,core,Winger,Goal Threat,Shot Rate,Shot_Rate
emphasis,supporting,Winger,Goal Threat,Shot Share,Shot_Share
emphasis,supporting,Winger,Goal Threat,Goal Conversion %,Goal_Conversion_pct
emphasis,core,Winger,Ball Carrier,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,core,Winger,Ball Carrier,Dribble Rate,Dribble_Rate
emphasis,supporting,Winger,Ball Carrier,Dribble Success %,Dribble_Success_pct
emphasis,core,DM,Defensive Mind,Tackles per90,Tackles_per90
emphasis,core,DM,Defensive Mind,Interceptions per90,Interceptions_per90
emphasis,core,DM,Defensive Mind,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
emphasis,supporting,DM,Defensive Mind,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
emphasis,core,DM,Progressor,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,core,DM,Progressor,Final Third Pass Rate,Final_Third_Pass_Rate
emphasis,supporting,DM,Progressor,Dribble Rate,Dribble_Rate
emphasis,core,CM,Ball-Winning,Tackles per90,Tackles_per90
emphasis,core,CM,Ball-Winning,Interceptions per90,Interceptions_per90
emphasis,core,CM,Ball-Winning,Ball Recoveries per90,Ball_Recoveries_per90
emphasis,core,CM,Box-to-Box,Tackles per90,Tackles_per90
emphasis,core,CM,Box-to-Box,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,supporting,CM,Box-to-Box,Shots Total per90,Shots_Total_per90
emphasis,core,CM,Progressor,Dribble Attempts per90,Dribble_Attempts_per90
emphasis,core,CM,Progressor,Final Third Pass Rate,Final_Third_Pass_Rate
emphasis,supporting,CM,Progressor,Dribble Rate,Dribble_Rate
emphasis,core,AM,Creator,Key Passes per90,Key_Passes_per90
emphasis,core,AM,Creator,Big Chances Created per90,Big_Chances_Created_per90
emphasis,supporting,AM,Creator,Key Pass Share,Key_Pass_Share
emphasis,core,AM,Goal Threat,Shots Total per90,Shots_Total_per90
emphasis,core,AM,Goal Threat,Shot Rate,Shot_Rate
emphasis,supporting,AM,Goal Threat,Shot Share,Shot_Share
emphasis,core,CF,Finisher,Shots Total per90,Shots_Total_per90
emphasis,core,CF,Finisher,Shot Rate,Shot_Rate
emphasis,supporting,CF,Finisher,Goal Conversion %,Goal_Conversion_pct
emphasis,core,CF,Aerial Target,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
emphasis,core,CF,Aerial Target,Aerial Duel Share,Aerial_Duel_Share
emphasis,supporting,CF,Aerial Target,Aerial Duel Success %,Aerial_Duel_Success_pct
